=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 457 <ALLOCATTING> , with memory size = 61.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 478 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 478 <ALLOCATTING> , with memory size = 77.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 478 <ALLOCATTING> , with memory size = 77.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 478 <ALLOCATTING> , with memory size = 77.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 478 <ALLOCATTING> , with memory size = 77.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 483 <ALLOCATTING> , with memory size = 77.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (0) : 
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 484 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 256 | 319 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 507 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 513 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 513 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 513 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 513 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 513 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 516 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 525 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 527 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 527 <ALLOCATTING> , with memory size = 143.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 704 | 767 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 527 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 527 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 527 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 527 <ALLOCATTING> , with memory size = 79.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 544 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 544 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 544 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 544 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 544 <ALLOCATTING> , with memory size = 207.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 544 <ALLOCATTING> , with memory size = 207.
